step,active_joint_pos,sde_joint_1_pos,sde_joint_2_pos,sde_joint_3_pos,sde_joint_4_pos,sde_joint_5_pos,rfe_1_x,rfe_1_y,rfe_1_z,rfe_2_x,rfe_2_y,rfe_2_z,rfe_3_x,rfe_3_y,rfe_3_z,rfe_4_x,rfe_4_y,rfe_4_z,rfe_5_x,rfe_5_y,rfe_5_z,rfe_6_x,rfe_6_y,rfe_6_z
43,1.9886001527330338e-06,-0.0020482839313894826,0.0025852826135113194,-0.0006807024351562289,0.00017801424773949406,-4.374322824700664e-05,0.0,0.0,0.5,0.11999999992777738,-3.3148643070902018e-09,0.49999583665767905,0.35999955190497,-3.725423085249972e-07,0.4995321011613961,0.5999995208218876,-2.7528860660574936e-07,0.49965424807769704,0.8399995186730573,-3.0085945736118263e-07,0.49962213207074485,1.0799995185320757,-2.943096967063717e-07,0.4996303583186995
44,1.6612984200271977e-05,-0.0021651016417184392,0.002714391432724672,-0.0007146944200165031,0.00018690326596825183,-4.5927457876800124e-05,0.0,0.0,0.5,0.11999999999976274,1.8999939192494207e-10,0.5000002386319427,0.35999949752098825,-3.9083340143072866e-07,0.4995091282508528,0.5999994626601143,-2.8783909079630906e-07,0.49963848515133336,0.8399994602501322,-3.14919238353379e-07,0.4996044735255362,1.0799994600920173,-3.0798289578156927e-07,0.49961318530553883
45,9.578077488809943e-06,-0.0022486435206376123,0.002828824173231445,-0.0007448224697166885,0.00019478185439351768,-4.786340273843752e-05,0.0,0.0,0.5,0.1199999999834405,1.587275798821874e-09,0.500001993557472,0.35999944606323225,-4.089640598976612e-07,0.4994863568398058,0.5999994076337192,-3.0082650666330235e-07,0.49962217345555654,0.8399994049770448,-3.292588910159958e-07,0.4995864634722529,1.0799994048027455,-3.219761953633863e-07,0.4995956102584294
46,-1.8731329112322817e-05,-0.0022995374932363055,0.0029288880874620607,-0.000771167575789889,0.0002016712105594732,-4.9556274073616915e-05,0.0,0.0,0.5,0.11999999999449562,9.151306240000543e-10,0.5000011493689344,0.3599993983850599,-4.2694435296838396e-07,0.49946377428192446,0.5999993566472179,-3.142481998996138e-07,0.49960531632407473,0.8399993537618463,-3.4387910994610216e-07,0.4995681010385078,1.0799993535725427,-3.3628943170902937e-07,0.4995776333830261
47,-3.678062218951032e-05,-0.002369238289583055,0.003039749338992509,-0.0008003549579939442,0.0002093037454085474,-5.143174882421737e-05,0.0,0.0,0.5,0.11999999997894825,-1.7896715617715034e-09,0.4999977522412191,0.3599993550547972,-4.447839772984526e-07,0.49944136839858133,0.5999993103120922,-3.2810161488365056e-07,0.4995879169666502,0.8399993072190011,-3.587805638217899e-07,0.49954938538446675,1.07999930701607,-3.5092244718727317e-07,0.49955925487730757
48,-4.444728582195539e-05,-0.002457945767151928,0.0031615055684316535,-0.0008324102386979113,0.0002176861436477371,-5.3491467369853234e-05,0.0,0.0,0.5,0.11999999991883115,-3.514178473461169e-09,0.49999558632673724,0.3599993052479259,-4.6327647760470766e-07,0.4994181425280743,0.599999257054217,-3.421778368436957e-07,0.499570237772217,0.8399992537225689,-3.74017882050231e-07,0.49953024789769185,1.079999253503987,-3.6586237143662134e-07,0.4995404909059543
49,-4.175533722300329e-05,-0.0025656206750883748,0.003294137445848775,-0.0008673282285415913,0.00022681702977030054,-5.573508911606034e-05,0.0,0.0,0.5,0.11999999988146634,-4.2466844149152446e-09,0.49999466632739376,0.3599992484453395,-4.824249260859968e-07,0.4993940928118397,0.5999991963138244,-3.5647605908253836e-07,0.49955227975395566,0.8399991927099723,-3.895912751580979e-07,0.49951068831376944,1.0799991924735324,-3.8110915483683653e-07,0.499521341531287
50,-2.8872429733671103e-05,-0.0026919893811543777,0.0034375109825342753,-0.0009050735349116774,0.00023668712714657673,-5.816033158259247e-05,0.0,0.0,0.5,0.11999999989538951,-3.9894840945206595e-09,0.4999949893611229,0.3599991840866914,-5.022287051430726e-07,0.499369220025558,0.5999991274897417,-3.709964467794867e-07,0.49953404270440704,0.8399991235772177,-4.055006994509764e-07,0.4994907066875777,1.0799991233205277,-3.9666280766390773e-07,0.49950180674039923
51,-6.105210320734051e-06,-0.0028365514472827925,0.003591381237041666,-0.0009455815382579633,0.0002472795134441268,-6.076303318139396e-05,0.0,0.0,0.5,0.11999999994998296,-2.7585958315926314e-09,0.49999653530953064,0.3599991115798517,-5.22683580266409e-07,0.4993435294876113,0.5999990499495301,-3.8574011780709377e-07,0.4995155252195666,0.8399990456890812,-4.217458620319853e-07,0.4994703033869844,1.0799990454095658,-4.125233989099833e-07,0.4994818864466399
52,2.6106983091163486e-05,-0.0029985899145799195,0.003755397347591963,-0.0009887597184755988,0.0002585699677489074,-6.353723854974272e-05,0.0,0.0,0.5,0.1199999999977636,-5.833179922632867e-10,0.4999992673749937,0.35999903031479186,-5.437818169493281e-07,0.4993170309122424,0.5999989630441755,-4.007091119353433e-07,0.49949672473756107,0.8399989583938562,-4.383262288595538e-07,0.4994494790827249,1.0799989580887641,-4.2869105438700456e-07,0.49946158049199385
53,3.6348801147568545e-05,-0.003126845135044131,0.00390448955430088,-0.0010280089725754626,0.00026883304509752105,-6.60590016577353e-05,0.0,0.0,0.5,0.11999999995910553,2.4943731925886686e-09,0.5000031328369776,0.3599989396813128,-5.655123394983446e-07,0.49928973821009737,0.5999988661267186,-4.159063489848855e-07,0.49947763759120817,0.839998861042044,-4.552410357004857e-07,0.49942823473464687,1.0799988607084572,-4.451659541486994e-07,0.4994408886503205
54,2.5016813353340163e-05,-0.0032219643093664156,0.00403897465491028,-0.0010634128930313057,0.0002780906393183597,-6.83337071105028e-05,0.0,0.0,0.5,0.1199999999207259,3.4729204381429096e-09,0.5000043618547542,0.35999885378152735,-5.870847023714858e-07,0.4992626441504341,0.5999987742713362,-4.315399090994123e-07,0.49945800243983496,0.8399987687750071,-4.7243587544898795e-07,0.4994066386759867,1.0799987684144148,-4.6196091666609213e-07,0.49941979482211235
55,-7.507191022814938e-06,-0.003284570495922451,0.004159157588090265,-0.001095051912924593,0.00028636381127476355,-7.036653388202128e-05,0.0,0.0,0.5,0.11999999996244955,2.3902136978159083e-09,0.5000030020166505,0.3599987735066991,-6.085089102322532e-07,0.49923573616777905,0.5999986884255358,-4.4760715323513303e-07,0.499437822597979,0.8399986825441387,-4.899114389558298e-07,0.4993846900390622,1.0799986821582852,-4.79075779023257e-07,0.4993982992119855
